"coords","gazePos","gx","gy","incomplete","letter","letter_time","sentence","string","total_time"
"(651.7999877929688, 516.7000122070312)","NA","NA","NA","my ","","50864.0134728","my ","","0"
"(622.0, 549.7000122070312)","NA","NA","NA","my name ","","45664.1403499","my name ","","0"
"(651.5, 521.0999755859375)","NA","NA","NA","my name is ","","50692.7528033","my name is ","","0"
"(604.7000122070312, 523.5)","NA","NA","NA","my name is l","l","52153.5857533","my name is ","l","0"
"(645.5999755859375, 516.5)","NA","NA","NA","my name is li","i","63994.1943144","my name is ","li","0"
"(660.7999877929688, 517.7999877929688)","NA","NA","NA","my name is l","","46478.9430843","my name is ","l","0"
"(621.4000244140625, 470.29998779296875)","NA","NA","NA","my name is llc ","","56270.082406","my name is llc ","","0"
"(655.9000244140625, 503.0)","NA","NA","NA","my name is llc llc ","","42243.1162119","my name is llc llc ","","0"
"(853.9000244140625, 253.5)","NA","NA","NA","my name is llc llc i","i","48784.590847","my name is llc llc ","i","0"
"(639.9000244140625, 445.0)","NA","NA","NA","my name is llc llc il","l","61084.437735","my name is llc llc ","il","0"
"(624.5, 513.7000122070312)","NA","NA","NA","my name is llc llc ili","i","63453.0673404","my name is llc llc ","ili","0"
"(659.4000244140625, 533.2999877929688)","NA","NA","NA","my name is llc llc ilis","s","46690.1466271","my name is llc llc ","ilis","0"
"(662.0, 519.7000122070312)","NA","NA","NA","my name is llc llc ilisc","c","72329.5020042","my name is llc llc ","ilisc","0"
"(662.2000122070312, 480.0)","NA","NA","NA","my name is llc llc ilis","","31525.2724682","my name is llc llc ","ilis","0"
"(646.0999755859375, 495.20001220703125)","NA","NA","NA","my name is llc llc ilisa","a","47369.482081","my name is llc llc ","ilisa","0"
"(305.1000061035156, 499.5)","NA","NA","NA","my name is llc llc ilisa ","","51875.3394027","my name is llc llc ilisa ","","0"
"(628.5999755859375, 511.8999938964844)","NA","NA","NA","my name is llc llc ilisa ","","43223.4435265","my name is llc llc ilisa ","","1185517.46645"
