coords,gazePos,gx,gy,incomplete,letter,letter_time,sentence,string,total_time
"(924.2999877929688, 292.1000061035156)",NA,NA,NA,m,m,32393.0380522,,m,0
"(891.5, 269.5)",NA,NA,NA,my,y,25096.1405116,,my,0
"(393.79998779296875, 274.5)",NA,NA,NA,my ,,24580.9842148,my ,,0
"(388.8999938964844, 287.5)",NA,NA,NA,my name ,,24573.6640861,my name ,,0
"(924.9000244140625, 282.20001220703125)",NA,NA,NA,my name is ,,29797.467782,my name is ,,0
"(915.5, 246.89999389648438)",NA,NA,NA,my name is l,l,24566.5540296,my name is ,l,0
"(899.7000122070312, 252.39999389648438)",NA,NA,NA,my name is li,i,27290.1646516,my name is ,li,0
"(363.1000061035156, 275.8999938964844)",NA,NA,NA,my name is lis,s,25890.5149427,my name is ,lis,0
"(952.9000244140625, 270.1000061035156)",NA,NA,NA,my name is lisa ,,28479.3263455,my name is lisa ,,0
"(408.5, 280.1000061035156)",NA,NA,NA,my name is lisa ,,22720.8960422,my name is lisa ,,447182.160362
